Mes,Año,Núemro de Empleados,Monto de salarios nominales
4,2008,33895,"21715811,85"
5,2008,34022,"21763265,85"
6,2008,34087,"21852303,45"
7,2008,34113,"22015387,76"
8,2008,34082,"22021636,37"
9,2008,34122,"22053123,62"
10,2008,34168,"22036320,23"
11,2008,34212,"22054441,95"
12,2008,34132,"22034882,13"
1,2009,32920,"23346732,61"
2,2009,33297,"23834672,29"
3,2009,34124,"24802165,2"
4,2009,34298,"24732284,15"
5,2009,34295,"24555202,95"
6,2009,34372,"24747786,18"
7,2009,34375,"24705323,19"
8,2009,34187,"24427472,38"
9,2009,34291,"24693184,24"
10,2009,34502,"24905775,37"
11,2009,34444,"24768071,81"
12,2009,34004,"24456543,43"
1,2010,33285,"23793748,21"
2,2010,33562,"24151185,24"
3,2010,34255,"24962023,74"
4,2010,34347,"24779141,72"
5,2010,34380,"24692154,61"
6,2010,34397,"24736610,49"
7,2010,34366,"24728082,37"
8,2010,34360,"24753260,9"
9,2010,34396,"24807141,79"
10,2010,34431,24844774
11,2010,34446,"24849598,7"
12,2010,34419,"24818001,49"
1,2011,41463,"29585019,26"
2,2011,42095,"30336383,96"
3,2011,42570,"30805714,23"
4,2011,42906,"30853497,66"
5,2011,42921,"30813944,74"
6,2011,42792,"30766150,64"
7,2011,43075,"32798304,44"
8,2011,43089,"32764724,27"
9,2011,43190,"32915576,1"
10,2011,43257,"32951214,66"
11,2011,43295,"32949941,97"
12,2011,43199,"32935443,03"
1,2012,41936,"31922044,27"
2,2012,42639,"32708263,22"
3,2012,43180,"33846656,99"
4,2012,43288,"38525299,3"
5,2012,43263,"33244653,05"
6,2012,43206,"33215450,25"
7,2012,43147,38733821
8,2012,43085,"33184802,65"
9,2012,43114,"33255817,64"
10,2012,43132,"33244995,3"
11,2012,43168,"33299131,07"
12,2012,43054,"33207062,79"
1,2013,41968,"34392492,08"
2,2013,42483,"35096273,45"
3,2013,42959,"35661657,47"
4,2013,42489,"35039286,28"
5,2013,42639,"35177657,7"
6,2013,42868,"35439661,88"
7,2013,42840,"35208823,16"
8,2013,42844,"35376478,27"
9,2013,42881,"35447884,25"
10,2013,42936,"35378356,61"
11,2013,42905,"35397188,17"
12,2013,42824,"35301623,82"
1,2014,41338,"36223937,66"
2,2014,42040,"37190093,24"
3,2014,42749,"38200232,9"
4,2014,42854,"37743273,02"
5,2014,42837,"37654272,88"
6,2014,42850,"37755546,75"
7,2014,42802,"37678429,55"
8,2014,42810,"37693529,75"
9,2014,42815,"37703437,11"
10,2014,42841,"37714752,58"
11,2014,42805,"37707029,77"
12,2014,42682,"37637848,34"
1,2015,41081,"36266914,31"
2,2015,41787,"37185309,99"
3,2015,42392,"38012903,81"
4,2015,42543,"40552813,56"
5,2015,42538,"43097347,53"
6,2015,42487,"39257928,85"
7,2015,42460,"39201848,09"
8,2015,42490,"39281120,63"
9,2015,42414,"39278640,68"
10,2015,42509,"39424590,36"
11,2015,42533,"39422772,92"
12,2015,42450,"39332203,85"
1,2016,40509,"37372148,11"
2,2016,40296,"37543415,13"
3,2016,41811,"39714516,63"
4,2016,42384,"39747867,42"
5,2016,42510,"39349659,34"
6,2016,42463,"39135050,83"
7,2016,42432,"39140138,65"
