Clasificación,ID,Nombre,NIT,,
MINISTERIOS,1,MINISTERIO DE AGRICULTURA Y GANADERIA,6140101310069,,
MINISTERIOS,2,MINISTERIO DE ECONOMIA,6140101140073,,
MINISTERIOS,3,MINISTERIO DE EDUCACION,6140101210038,,
MINISTERIOS,4,MINISTERIO DE GOBERNACIONY DESARROLLO TERRITORIAL,6140101021015,,
MINISTERIOS,5,MINISTERIO DE HACIENDA,6140101110032,,
MINISTERIOS,6,MINISTERIO DE JUSTICIA,6140101110068,,
MINISTERIOS,20515,MINISTERIO DE JUSTICIA Y SEGURIDAD PUBLICA,6140101071012,,
MINISTERIOS,5973,MINISTERIO DE LA DEFENSA NACIONAL - ESTADO MAYOR PRESIDENCIAL,6140101160060,,
MINISTERIOS,5974,MINISTERIO DE MEDIO AMBIENTE Y RECURSOS- NATURALES,6141605971045,,
MINISTERIOS,7,MINISTERIO DE OBRAS PUBLICAS,6140101110081,,
MINISTERIOS,5975,MINISTERIO DE RELACIONES EXTERIORES,6140101130031,,
MINISTERIOS,8,MINISTERIO DE SALUD PUBLICA Y ASISTENCIA,6140101220032,,
MINISTERIOS,5976,MINISTERIO DE SEGURIDAD PUBLICA Y JUSTICIA,6142312991030,,
MINISTERIOS,9,MINISTERIO DE TRABAJO Y PREVISION SOCIAL,6140101250036,,
MINISTERIOS,55386,MINISTERIO DE TURISMO,6140106041030,,
MINISTERIOS,10,PRESIDENCIA DE LA REPUBLICA,6140101110100,,
MINISTERIOS,11,VICEMINISTERIO DE SEGURIDAD PUBLICA,6142705941085,,
INSTITUCIONES DESCENTRALIZADAS,92014,ACADEMIA INTERNACIONAL PARA EL CUMPLIMIENTO DE LA LEY,6142009051083,,
INSTITUCIONES DESCENTRALIZADAS,5978,ACADEMIA NACIONAL DE SEGURIDAD PUBLICA,6142702921040,,
INSTITUCIONES DESCENTRALIZADAS,47803,AUTORIDAD DE AVIACION CIVIL,6141810011054,,
INSTITUCIONES DESCENTRALIZADAS,56256,AUTORIDAD MARITIMA PORTUARIA,6143010021070,,
INSTITUCIONES DESCENTRALIZADAS,5979,CAJA MUTUAL DE LOS EMPLEADOS DEL MINISTERIO DE EDUCACION,6141705901044,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,75643,CDE CANTON HACIENDA NUEVA,5032102971024,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,91366,CDE CASERIO HACIENDA SHUTIA CANTON TAQUILLO,5051011141058,3,MINISTERIO DE EDUCACION
INSTITUCIONES DESCENTRALIZADAS,93146,CDE CASERIO LA ERMITA CANTON LOS NARANJOS,7022710141044,3,MINISTERIO DE EDUCACION
